,object_id,frame_number,x-coordinate,y-coordinate
0,0,125,390,30
1,0,126,390,30
2,0,127,390,30
3,0,128,390,30
4,0,129,390,30
5,0,130,390,30
6,0,131,390,30
7,0,132,390,30
8,0,133,390,30
9,0,134,390,30
10,0,135,390,30
11,0,136,390,30
12,0,137,390,30
13,0,138,390,30
14,0,139,390,30
15,0,140,390,30
16,0,141,390,30
17,0,142,390,30
18,0,143,390,30
19,0,144,390,30
20,0,145,390,30
21,0,146,390,30
22,0,147,390,30
23,0,148,390,30
24,0,149,367,32
25,0,150,367,32
26,0,151,367,32
27,0,152,367,32
28,0,153,385,37
29,0,154,385,37
30,0,155,385,37
31,0,156,385,37
32,0,157,385,37
33,0,158,385,37
34,0,159,385,37
35,0,160,385,37
36,0,161,385,37
37,0,162,385,37
38,0,163,385,37
39,0,164,385,37
40,0,165,385,37
41,0,166,385,37
42,0,167,132,78
43,0,168,132,78
44,0,169,132,78
45,0,170,132,78
46,0,171,132,78
47,0,172,132,78
48,0,173,132,78
49,0,174,132,78
50,0,175,132,78
51,0,176,132,78
52,0,177,132,78
53,0,178,132,78
54,0,179,132,78
55,0,180,132,78
56,0,181,132,78
57,0,182,132,78
58,0,183,132,78
59,0,184,132,78
60,0,185,132,78
61,0,186,132,78
62,0,187,132,78
63,0,188,74,92
64,0,189,74,92
65,0,190,74,92
66,0,191,37,87
67,0,192,37,87
68,0,193,37,87
69,0,194,19,88
70,0,195,19,88
71,0,196,19,88
72,0,197,19,88
73,0,198,19,88
74,0,199,19,88
75,0,200,19,88
76,0,201,19,88
77,0,202,19,88
78,0,203,19,88
79,0,204,19,88
80,0,205,19,88
81,0,206,19,88
82,0,207,19,88
83,0,208,19,88
84,0,209,19,88
85,0,210,19,88
86,0,211,19,88
87,0,212,19,88
88,0,213,19,88
89,0,214,19,88
90,0,215,19,88
91,0,216,19,88
92,0,217,19,88
93,0,218,19,88
94,0,219,19,88
95,0,220,19,88
96,0,221,19,88
97,0,222,19,88
98,0,223,19,88
99,0,224,19,88
100,0,225,19,88
101,0,226,19,88
102,0,227,49,88
103,0,228,49,87
104,0,229,49,88
105,0,230,56,83
106,0,231,56,83
107,0,232,56,83
108,0,233,136,85
109,0,234,136,85
110,0,235,136,85
111,0,236,248,73
112,0,237,248,73
113,0,238,248,73
114,0,239,248,73
115,0,240,248,73
116,0,241,248,73
117,0,242,248,73
118,0,243,248,73
119,0,244,248,73
120,0,245,248,73
121,0,246,248,73
122,0,247,248,73
123,0,248,248,73
124,0,249,248,73
125,0,250,248,73
126,0,251,248,73
127,0,252,248,73
128,0,253,248,73
129,0,254,248,73
130,0,255,248,73
131,0,256,248,73
132,0,257,248,73
133,0,258,248,73
134,0,259,248,73
135,0,260,248,73
136,0,261,248,73
137,0,262,248,73
138,0,263,248,73
139,0,264,248,73
140,0,265,248,73
141,0,266,31,196
142,0,267,31,196
143,0,268,31,196
144,0,269,27,188
145,0,270,26,188
146,0,271,26,188
147,0,272,28,180
148,0,273,27,179
149,0,274,24,172
150,0,275,23,168
151,0,276,23,168
152,0,277,23,168
153,0,278,23,166
154,0,279,23,166
155,0,280,23,166
156,0,281,25,148
157,0,282,25,148
158,0,283,25,148
159,0,284,26,137
160,0,285,26,137
161,0,286,32,119
162,0,287,43,103
163,0,288,43,103
164,0,289,43,104
165,0,290,58,91
166,0,291,58,91
167,0,292,71,78
168,0,293,79,62
169,0,294,79,62
170,0,295,79,62
171,0,296,85,44
172,0,297,85,44
173,0,298,88,33
174,0,299,101,28
175,0,300,101,28
176,0,301,101,28
177,0,302,108,22
178,0,303,108,22
179,0,304,108,22
180,0,305,108,22
181,0,306,108,22
182,0,307,108,22
183,0,308,108,22
184,0,309,108,22
185,0,310,108,22
186,0,311,108,22
187,0,312,108,22
188,0,313,108,22
189,0,314,108,22
190,0,315,108,22
191,0,316,108,22
192,0,317,108,22
193,0,318,108,22
194,0,319,108,22
195,0,320,108,22
196,0,321,108,22
197,0,322,108,22
198,0,323,108,22
199,0,324,108,22
200,0,325,108,22
201,0,326,108,22
202,0,327,108,22
203,0,328,108,22
204,0,329,108,22
205,0,330,108,22
206,0,331,108,22
207,0,332,108,22
208,0,333,108,22
209,0,334,108,22
210,0,335,108,22
211,0,336,108,22
212,0,337,108,22
213,0,338,108,22
214,0,339,108,22
215,0,340,108,22
216,0,341,108,22
217,0,342,108,22
218,0,343,108,22
219,0,344,108,22
220,0,345,108,22
221,0,346,108,22
222,0,347,108,22
223,0,348,108,22
224,0,349,108,22
225,0,350,108,22
226,0,351,108,22
227,0,352,108,22
228,0,353,108,22
229,1,470,198,27
230,1,471,198,26
231,1,472,198,26
232,1,473,191,28
233,1,474,191,28
234,1,475,191,28
235,1,476,185,31
236,1,477,185,31
237,1,478,185,31
238,1,479,180,32
239,1,480,180,33
240,1,481,176,35
241,1,482,172,35
242,1,483,172,35
243,1,484,172,35
244,1,485,171,34
245,1,486,170,36
246,1,487,170,36
247,1,488,171,37
248,1,489,171,37
249,1,490,171,37
250,1,491,169,40
251,1,492,168,43
252,1,493,165,47
253,1,494,165,47
254,1,495,165,47
255,1,496,163,51
256,1,497,162,53
257,1,498,162,53
258,1,499,161,56
259,1,500,161,56
260,1,501,161,56
261,1,502,159,59
262,1,503,160,60
