,object_id,frame_number,x-coordinate,y-coordinate
263,1,504,160,60
264,1,505,160,60
265,1,506,160,60
266,1,507,160,60
267,1,508,160,60
268,1,509,160,60
269,1,510,160,60
270,1,511,160,60
271,1,512,160,60
272,1,513,160,60
273,1,514,160,60
274,1,515,160,60
275,1,516,160,60
276,1,517,160,60
277,1,518,160,60
278,1,519,160,60
279,1,520,160,60
280,1,521,160,60
281,1,522,160,60
282,1,523,160,60
283,1,524,160,60
284,1,525,160,60
285,1,526,160,60
286,1,527,160,60
287,1,528,160,60
288,1,529,160,60
289,1,530,160,60
290,1,531,160,60
291,1,532,160,60
292,1,533,160,60
293,1,534,160,60
294,1,535,160,60
295,1,536,160,60
296,1,537,160,60
297,1,538,160,60
298,1,539,160,60
299,1,540,160,60
300,1,541,160,60
301,1,542,160,60
302,1,543,160,60
303,1,544,160,60
304,1,545,160,60
305,1,546,160,60
306,1,547,160,60
307,1,548,160,60
308,1,549,160,60
309,1,550,160,60
310,1,551,160,60
311,1,552,160,60
312,1,553,160,60
313,1,554,160,60
